iso_code,country,AcuteCare2014
ARM,Armenia,341.07
AUT,Austria,579.96
AZE,Azerbaijan,354.18
BEL,Belgium,567.27
BGR,Bulgaria,595.04
BLR,Belarus,866.42
CYP,Cyprus,341.32
CZE,Czechia,425.03
DEU,Germany,620.83
DNK,Denmark,261.67
ESP,Spain,238.54
EST,Estonia,366.51
FIN,Finland,307.55
FRA,France,428.04
GBR,United Kingdom,227.79
GEO,Georgia,210.02
GRC,Greece,346.25
HUN,Hungary,428.87
HRV,Croatia,398.84
ISL,Iceland,267.32
IRL,Ireland,240.44
ISR,Israel,240.6
ITA,Italy,274.57
KAZ,Kazakhstan,418.76
KGZ,Kyrgyzstan,353.86
LVA,Latvia,339.21
LTU,Lithuania,634.39
LUX,Luxembourg,418.99
MCO,Monaco,1119
MKD,Macedonia,301.66
MDA,Moldova,454.62
MLT,Malta,323.9
MNE,Montenegro,391.18
NLD,Netherlands,332.38
NOR,Norway,342.52
POL,Poland,487.68
PRT,Portugal,325.13
ROU,Romania,402.61
RUS,Russia,640.69
SRB,Serbia,456.25
SVK,Slovakia,491.29
SVN,Slovenia,423.03
SWE,Sweden,234.5
CHE,Switzerland,375.08
TJK,Tajikistan,425.14
TUR,Turkey,258.8
TKM,Turkmenistan,306.4
UKR,Ukraine,613.31
UZB,Uzbekistan,333.87
