Geographic area,Indicator,Residence,Sex,Current age,Unit of measure,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,Observation Status,Observation confidentaility,DATA_SOURCE,COVERAGE_TIME,Time interval at which the source data are collected,TIME_PERIOD_METHOD,OBS_FOOTNOTE
Afghanistan,Total population,Total,Total,Total,Persons,Thousands,,,2018,37171.921,,,UNPD2019,,,,
Albania,Total population,Total,Total,Total,Persons,Thousands,,,2018,2882.74,,,UNPD2019,,,,
Algeria,Total population,Total,Total,Total,Persons,Thousands,,,2018,42228.408,,,UNPD2019,,,,
Andorra,Total population,Total,Total,Total,Persons,Thousands,,,2018,77.006,,,UNPD2019,,,,
Angola,Total population,Total,Total,Total,Persons,Thousands,,,2018,30809.787,,,UNPD2019,,,,
Antigua and Barbuda,Total population,Total,Total,Total,Persons,Thousands,,,2018,96.286,,,UNPD2019,,,,
Azerbaijan,Total population,Total,Total,Total,Persons,Thousands,,,2018,9949.537,,,UNPD2019,,,,
Argentina,Total population,Total,Total,Total,Persons,Thousands,,,2018,44361.15,,,UNPD2019,,,,
Australia,Total population,Total,Total,Total,Persons,Thousands,,,2018,24898.152,,,UNPD2019,,,,
Austria,Total population,Total,Total,Total,Persons,Thousands,,,2018,8891.388,,,UNPD2019,,,,
Bahamas,Total population,Total,Total,Total,Persons,Thousands,,,2018,385.637,,,UNPD2019,,,,
Bahrain,Total population,Total,Total,Total,Persons,Thousands,,,2018,1569.446,,,UNPD2019,,,,
Bangladesh,Total population,Total,Total,Total,Persons,Thousands,,,2018,161376.708,,,UNPD2019,,,,
Armenia,Total population,Total,Total,Total,Persons,Thousands,,,2018,2951.745,,,UNPD2019,,,,
Barbados,Total population,Total,Total,Total,Persons,Thousands,,,2018,286.641,,,UNPD2019,,,,
Belgium,Total population,Total,Total,Total,Persons,Thousands,,,2018,11482.178,,,UNPD2019,,,,
Bhutan,Total population,Total,Total,Total,Persons,Thousands,,,2018,754.388,,,UNPD2019,,,,
Bolivia (Plurinational State of),Total population,Total,Total,Total,Persons,Thousands,,,2018,11353.142,,,UNPD2019,,,,
Bosnia and Herzegovina,Total population,Total,Total,Total,Persons,Thousands,,,2018,3323.925,,,UNPD2019,,,,
Botswana,Total population,Total,Total,Total,Persons,Thousands,,,2018,2254.068,,,UNPD2019,,,,
Brazil,Total population,Total,Total,Total,Persons,Thousands,,,2018,209469.323,,,UNPD2019,,,,
Belize,Total population,Total,Total,Total,Persons,Thousands,,,2018,383.071,,,UNPD2019,,,,
Solomon Islands,Total population,Total,Total,Total,Persons,Thousands,,,2018,652.857,,,UNPD2019,,,,
British Virgin Islands,Total population,Total,Total,Total,Persons,Thousands,,,2018,29.802,,,UNPD2019,,,,
Brunei Darussalam,Total population,Total,Total,Total,Persons,Thousands,,,2018,428.963,,,UNPD2019,,,,
Bulgaria,Total population,Total,Total,Total,Persons,Thousands,,,2018,7051.608,,,UNPD2019,,,,
Myanmar,Total population,Total,Total,Total,Persons,Thousands,,,2018,53708.32,,,UNPD2019,,,,
Burundi,Total population,Total,Total,Total,Persons,Thousands,,,2018,11175.374,,,UNPD2019,,,,
Belarus,Total population,Total,Total,Total,Persons,Thousands,,,2018,9452.617,,,UNPD2019,,,,
Cambodia,Total population,Total,Total,Total,Persons,Thousands,,,2018,16249.792,,,UNPD2019,,,,
Cameroon,Total population,Total,Total,Total,Persons,Thousands,,,2018,25216.267,,,UNPD2019,,,,
Canada,Total population,Total,Total,Total,Persons,Thousands,,,2018,37074.562,,,UNPD2019,,,,
Cabo Verde,Total population,Total,Total,Total,Persons,Thousands,,,2018,543.767,,,UNPD2019,,,,
Central African Republic,Total population,Total,Total,Total,Persons,Thousands,,,2018,4666.368,,,UNPD2019,,,,
Sri Lanka,Total population,Total,Total,Total,Persons,Thousands,,,2018,21228.763,,,UNPD2019,,,,
Chad,Total population,Total,Total,Total,Persons,Thousands,,,2018,15477.729,,,UNPD2019,,,,
Chile,Total population,Total,Total,Total,Persons,Thousands,,,2018,18729.16,,,UNPD2019,,,,
China,Total population,Total,Total,Total,Persons,Thousands,,,2018,1427647.786,,,UNPD2019,,,,
Colombia,Total population,Total,Total,Total,Persons,Thousands,,,2018,49661.048,,,UNPD2019,,,,
Comoros,Total population,Total,Total,Total,Persons,Thousands,,,2018,832.322,,,UNPD2019,,,,
Congo,Total population,Total,Total,Total,Persons,Thousands,,,2018,5244.359,,,UNPD2019,,,,
Democratic Republic of the Congo,Total population,Total,Total,Total,Persons,Thousands,,,2018,84068.091,,,UNPD2019,,,,
Cook Islands,Total population,Total,Total,Total,Persons,Thousands,,,2018,17.518,,,UNPD2019,,,,
Costa Rica,Total population,Total,Total,Total,Persons,Thousands,,,2018,4999.441,,,UNPD2019,,,,
Croatia,Total population,Total,Total,Total,Persons,Thousands,,,2018,4156.405,,,UNPD2019,,,,
Cuba,Total population,Total,Total,Total,Persons,Thousands,,,2018,11338.134,,,UNPD2019,,,,
Cyprus,Total population,Total,Total,Total,Persons,Thousands,,,2018,1189.265,,,UNPD2019,,,,
Czechia,Total population,Total,Total,Total,Persons,Thousands,,,2018,10665.677,,,UNPD2019,,,,
Benin,Total population,Total,Total,Total,Persons,Thousands,,,2018,11485.044,,,UNPD2019,,,,
Denmark,Total population,Total,Total,Total,Persons,Thousands,,,2018,5752.126,,,UNPD2019,,,,
Dominica,Total population,Total,Total,Total,Persons,Thousands,,,2018,71.625,,,UNPD2019,,,,
Dominican Republic,Total population,Total,Total,Total,Persons,Thousands,,,2018,10627.141,,,UNPD2019,,,,
Ecuador,Total population,Total,Total,Total,Persons,Thousands,,,2018,17084.358,,,UNPD2019,,,,
El Salvador,Total population,Total,Total,Total,Persons,Thousands,,,2018,6420.746,,,UNPD2019,,,,
Equatorial Guinea,Total population,Total,Total,Total,Persons,Thousands,,,2018,1308.975,,,UNPD2019,,,,
Ethiopia,Total population,Total,Total,Total,Persons,Thousands,,,2018,109224.414,,,UNPD2019,,,,
Eritrea,Total population,Total,Total,Total,Persons,Thousands,,,2018,3452.786,,,UNPD2019,,,,
Estonia,Total population,Total,Total,Total,Persons,Thousands,,,2018,1322.92,,,UNPD2019,,,,
Fiji,Total population,Total,Total,Total,Persons,Thousands,,,2018,883.483,,,UNPD2019,,,,
Finland,Total population,Total,Total,Total,Persons,Thousands,,,2018,5522.576,,,UNPD2019,,,,
France,Total population,Total,Total,Total,Persons,Thousands,,,2018,64990.511,,,UNPD2019,,,,
Djibouti,Total population,Total,Total,Total,Persons,Thousands,,,2018,958.923,,,UNPD2019,,,,
Gabon,Total population,Total,Total,Total,Persons,Thousands,,,2018,2119.275,,,UNPD2019,,,,
Georgia,Total population,Total,Total,Total,Persons,Thousands,,,2018,4002.942,,,UNPD2019,,,,
Gambia,Total population,Total,Total,Total,Persons,Thousands,,,2018,2280.094,,,UNPD2019,,,,
State of Palestine,Total population,Total,Total,Total,Persons,Thousands,,,2018,4862.979,,,UNPD2019,,,,
Germany,Total population,Total,Total,Total,Persons,Thousands,,,2018,83124.418,,,UNPD2019,,,,
Ghana,Total population,Total,Total,Total,Persons,Thousands,,,2018,29767.102,,,UNPD2019,,,,
Kiribati,Total population,Total,Total,Total,Persons,Thousands,,,2018,115.847,,,UNPD2019,,,,
Greece,Total population,Total,Total,Total,Persons,Thousands,,,2018,10522.246,,,UNPD2019,,,,
Grenada,Total population,Total,Total,Total,Persons,Thousands,,,2018,111.454,,,UNPD2019,,,,
Guatemala,Total population,Total,Total,Total,Persons,Thousands,,,2018,17247.849,,,UNPD2019,,,,
Guinea,Total population,Total,Total,Total,Persons,Thousands,,,2018,12414.293,,,UNPD2019,,,,
Guyana,Total population,Total,Total,Total,Persons,Thousands,,,2018,779.006,,,UNPD2019,,,,
Haiti,Total population,Total,Total,Total,Persons,Thousands,,,2018,11123.178,,,UNPD2019,,,,
Holy See,Total population,Total,Total,Total,Persons,Thousands,,,2018,0.801,,,UNPD2019,,,,
Honduras,Total population,Total,Total,Total,Persons,Thousands,,,2018,9587.522,,,UNPD2019,,,,
Hungary,Total population,Total,Total,Total,Persons,Thousands,,,2018,9707.499,,,UNPD2019,,,,
Iceland,Total population,Total,Total,Total,Persons,Thousands,,,2018,336.713,,,UNPD2019,,,,
India,Total population,Total,Total,Total,Persons,Thousands,,,2018,1352642.28,,,UNPD2019,,,,
Indonesia,Total population,Total,Total,Total,Persons,Thousands,,,2018,267670.543,,,UNPD2019,,,,
Iran (Islamic Republic of),Total population,Total,Total,Total,Persons,Thousands,,,2018,81800.188,,,UNPD2019,,,,
Iraq,Total population,Total,Total,Total,Persons,Thousands,,,2018,38433.6,,,UNPD2019,,,,
Ireland,Total population,Total,Total,Total,Persons,Thousands,,,2018,4818.69,,,UNPD2019,,,,
Israel,Total population,Total,Total,Total,Persons,Thousands,,,2018,8381.516,,,UNPD2019,,,,
Italy,Total population,Total,Total,Total,Persons,Thousands,,,2018,60627.291,,,UNPD2019,,,,
Côte d'Ivoire,Total population,Total,Total,Total,Persons,Thousands,,,2018,25069.23,,,UNPD2019,,,,
Jamaica,Total population,Total,Total,Total,Persons,Thousands,,,2018,2934.847,,,UNPD2019,,,,
Japan,Total population,Total,Total,Total,Persons,Thousands,,,2018,127202.192,,,UNPD2019,,,,
Kazakhstan,Total population,Total,Total,Total,Persons,Thousands,,,2018,18319.618,,,UNPD2019,,,,
Jordan,Total population,Total,Total,Total,Persons,Thousands,,,2018,9965.318,,,UNPD2019,,,,
Kenya,Total population,Total,Total,Total,Persons,Thousands,,,2018,51392.565,,,UNPD2019,,,,
Democratic People's Republic of Korea,Total population,Total,Total,Total,Persons,Thousands,,,2018,25549.604,,,UNPD2019,,,,
Republic of Korea,Total population,Total,Total,Total,Persons,Thousands,,,2018,51171.706,,,UNPD2019,,,,
Kuwait,Total population,Total,Total,Total,Persons,Thousands,,,2018,4137.312,,,UNPD2019,,,,
Kyrgyzstan,Total population,Total,Total,Total,Persons,Thousands,,,2018,6304.03,,,UNPD2019,,,,
Lao People's Democratic Republic,Total population,Total,Total,Total,Persons,Thousands,,,2018,7061.507,,,UNPD2019,,,,
Lebanon,Total population,Total,Total,Total,Persons,Thousands,,,2018,6859.408,,,UNPD2019,,,,
Lesotho,Total population,Total,Total,Total,Persons,Thousands,,,2018,2108.328,,,UNPD2019,,,,
Latvia,Total population,Total,Total,Total,Persons,Thousands,,,2018,1928.459,,,UNPD2019,,,,
Liberia,Total population,Total,Total,Total,Persons,Thousands,,,2018,4818.973,,,UNPD2019,,,,
Libya,Total population,Total,Total,Total,Persons,Thousands,,,2018,6678.559,,,UNPD2019,,,,
Liechtenstein,Total population,Total,Total,Total,Persons,Thousands,,,2018,37.91,,,UNPD2019,,,,
Lithuania,Total population,Total,Total,Total,Persons,Thousands,,,2018,2801.264,,,UNPD2019,,,,
Luxembourg,Total population,Total,Total,Total,Persons,Thousands,,,2018,604.245,,,UNPD2019,,,,
Madagascar,Total population,Total,Total,Total,Persons,Thousands,,,2018,26262.313,,,UNPD2019,,,,
Malawi,Total population,Total,Total,Total,Persons,Thousands,,,2018,18143.217,,,UNPD2019,,,,
Malaysia,Total population,Total,Total,Total,Persons,Thousands,,,2018,31528.033,,,UNPD2019,,,,
Maldives,Total population,Total,Total,Total,Persons,Thousands,,,2018,515.696,,,UNPD2019,,,,
Mali,Total population,Total,Total,Total,Persons,Thousands,,,2018,19077.749,,,UNPD2019,,,,
Malta,Total population,Total,Total,Total,Persons,Thousands,,,2018,439.248,,,UNPD2019,,,,
